发布者ID,发布时间,发布来源,发布内容,收藏数,转发数,评论数,点赞数
正义随州,06月19日07:19,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频  ,0,0,8,7
天津市人民检察院,06月19日07:17,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频  ,0,0,2,3
青春上海,06月19日07:16,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频  ,0,3,0,7
东方红人民检察,06月19日07:14,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频  ,0,24,126,204
驻马店消防,06月19日07:14,来自iPhone客户端, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频  ,0,0,0,1
双桦检察,06月19日07:12,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频  ,0,12,39,45
法治彭州,06月19日07:11,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频  ,0,0,0,0
zfw平安浦城,06月19日07:01,, 重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#,0,8,5,11
央视新闻,06月19日07:00,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，籽粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频  ,0,8814,2575,73093
内蒙古晨报,06月19日11:58,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！L央视新闻的微博视频  ,0,0,0,1
天津市总工会,06月19日11:57,来自微博视频号, 【重温!#袁隆平讲禾下乘凉梦的珍贵影像#】“我曾经做了一个梦，梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”……禾下乘凉梦，是个幸福的梦。为培育出高产量品种，提高粮食产量，袁老奉献了一生。缅怀！致敬！#致敬劳动者#（来源：央视新闻）L央视新闻的微博视频​,0,0,0,302
成都科技,06月19日11:53,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频  ,0,0,0,1
青春龙泉驿,06月19日11:53,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频  ,0,0,0,0
法治承德,06月19日11:52,来自微博视频号, 【重温！泪目#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#敢教日月换新天#L央视网的微博视频  ,0,0,0,0
